Species,Data_source,Predictor,Distributional_range,Model_score
Ciconia ciconia,standardized,combination,IV,0.89
Ciconia ciconia,standardized,habitat-based,IV,0.87
Ciconia nigra,standardized,climate-based,III,0.94
Ciconia nigra,standardized,combination,III,0.95
Ciconia nigra,standardized,habitat-based,III,0.91
Cinclus cinclus,standardized,climate-based,IV,0.92
Cinclus cinclus,standardized,combination,IV,0.91
Cinclus cinclus,standardized,habitat-based,IV,0.92
Circaetus gallicus,standardized,climate-based,IV,0.85
Circaetus gallicus,standardized,combination,IV,0.83
Circaetus gallicus,standardized,habitat-based,IV,0.78
Circus aeruginosus,standardized,climate-based,III,0.89
Circus aeruginosus,standardized,combination,III,0.87
Circus aeruginosus,standardized,habitat-based,III,0.83
Circus cyaneus,standardized,climate-based,IV,0.86
Circus cyaneus,standardized,combination,IV,0.86
Circus cyaneus,standardized,habitat-based,IV,0.83
Circus pygargus,standardized,climate-based,IV,0.87
Circus pygargus,standardized,combination,IV,0.86
Circus pygargus,standardized,habitat-based,IV,0.82
Cisticola juncidis,standardized,climate-based,IV,0.86
Cisticola juncidis,standardized,combination,IV,0.88
Cisticola juncidis,standardized,habitat-based,IV,0.82
Clamator glandarius,standardized,climate-based,IV,0.84
Clamator glandarius,standardized,combination,IV,0.84
Clamator glandarius,standardized,habitat-based,IV,0.81
Coccothraustes coccothraustes,standardized,climate-based,III,0.87
Coccothraustes coccothraustes,standardized,combination,III,0.86
Coccothraustes coccothraustes,standardized,habitat-based,III,0.83
Columba livia,standardized,climate-based,IV,0.9
Columba livia,standardized,combination,IV,0.93
Columba livia,standardized,habitat-based,IV,0.92
Columba oenas,standardized,climate-based,IV,0.9
Columba oenas,standardized,combination,IV,0.89
Columba oenas,standardized,habitat-based,IV,0.84
Columba palumbus,standardized,climate-based,IV,0.89
Columba palumbus,standardized,combination,IV,0.87
Columba palumbus,standardized,habitat-based,IV,0.82
Coracias garrulus,standardized,climate-based,III,0.88
Coracias garrulus,standardized,combination,III,0.88
Coracias garrulus,standardized,habitat-based,III,0.85
Corvus corax,standardized,climate-based,IV,0.85
Corvus corax,standardized,combination,IV,0.84
Corvus corax,standardized,habitat-based,IV,0.82
Corvus corone,standardized,climate-based,IV,0.96
Corvus corone,standardized,combination,IV,0.94
Corvus corone,standardized,habitat-based,IV,0.88
Corvus frugilegus,standardized,climate-based,I,0.96
Corvus frugilegus,standardized,combination,I,0.94
Corvus frugilegus,standardized,habitat-based,I,0.89
Coturnix coturnix,standardized,climate-based,IV,0.9
Coturnix coturnix,standardized,combination,IV,0.85
Coturnix coturnix,standardized,habitat-based,IV,0.81
Cuculus canorus,standardized,climate-based,IV,0.84
Cuculus canorus,standardized,combination,IV,0.84
Cuculus canorus,standardized,habitat-based,IV,0.81
Cyanistes caeruleus,standardized,climate-based,IV,0.89
Cyanistes caeruleus,standardized,combination,IV,0.87
Cyanistes caeruleus,standardized,habitat-based,IV,0.84
Cyanopica cooki,standardized,climate-based,IV,0.94
Cyanopica cooki,standardized,combination,IV,0.93
Cyanopica cooki,standardized,habitat-based,IV,0.88
Cygnus olor,standardized,climate-based,I,1
Cygnus olor,standardized,combination,I,1
Cygnus olor,standardized,habitat-based,I,1
Delichon urbicum,standardized,climate-based,IV,0.93
Delichon urbicum,standardized,combination,IV,0.97
Delichon urbicum,standardized,habitat-based,IV,1
Dendrocopos major,standardized,climate-based,IV,0.89
Dendrocopos major,standardized,combination,IV,0.88
Dendrocopos major,standardized,habitat-based,IV,0.87
Dendrocopos minor,standardized,climate-based,III,0.91
Dendrocopos minor,standardized,combination,III,0.9
Dendrocopos minor,standardized,habitat-based,III,0.85
Dryocopus martius,standardized,climate-based,II,0.99
Dryocopus martius,standardized,combination,II,0.99
Dryocopus martius,standardized,habitat-based,II,0.97
Egretta garzetta,standardized,climate-based,III,0.92
Egretta garzetta,standardized,combination,III,0.9
Egretta garzetta,standardized,habitat-based,III,0.86
Elanus caeruleus,standardized,climate-based,III,0.9
Elanus caeruleus,standardized,combination,III,0.9
Elanus caeruleus,standardized,habitat-based,III,0.89
Emberiza calandra,standardized,climate-based,IV,0.9
Emberiza calandra,standardized,combination,IV,0.9
Emberiza calandra,standardized,habitat-based,IV,0.87
Emberiza cia,standardized,climate-based,IV,0.88
Emberiza cia,standardized,combination,IV,0.87
Emberiza cia,standardized,habitat-based,IV,0.85
Emberiza cirlus,standardized,climate-based,IV,0.87
Emberiza cirlus,standardized,combination,IV,0.87
Emberiza cirlus,standardized,habitat-based,IV,0.84
Emberiza citrinella,standardized,climate-based,III,0.98
Emberiza citrinella,standardized,combination,III,0.98
Emberiza citrinella,standardized,habitat-based,III,0.97
