Species,Data_source,Predictor,Distributional_range,Model_score
Lophophanes cristatus,non-standardized,combination,III,0.77
Lophophanes cristatus,non-standardized,habitat-based,III,0.76
Loxia curvirostra,non-standardized,climate-based,II,0.75
Loxia curvirostra,non-standardized,combination,II,0.77
Loxia curvirostra,non-standardized,habitat-based,II,0.74
Lullula arborea,non-standardized,climate-based,III,0.67
Lullula arborea,non-standardized,combination,III,0.64
Lullula arborea,non-standardized,habitat-based,III,0.64
Luscinia megarhynchos,non-standardized,climate-based,III,0.65
Luscinia megarhynchos,non-standardized,combination,III,0.67
Luscinia megarhynchos,non-standardized,habitat-based,III,0.65
Luscinia svecica,non-standardized,climate-based,II,0.57
Luscinia svecica,non-standardized,combination,II,0.59
Luscinia svecica,non-standardized,habitat-based,II,0.52
Marmaronetta angustirostris,non-standardized,climate-based,I,0.95
Marmaronetta angustirostris,non-standardized,combination,I,0.9
Marmaronetta angustirostris,non-standardized,habitat-based,I,0.86
Melanocorypha calandra,non-standardized,climate-based,II,0.76
Melanocorypha calandra,non-standardized,combination,II,0.8
Melanocorypha calandra,non-standardized,habitat-based,II,0.81
Merops apiaster,non-standardized,climate-based,IV,0.8
Merops apiaster,non-standardized,combination,IV,0.77
Merops apiaster,non-standardized,habitat-based,IV,0.79
Milvus migrans,non-standardized,climate-based,IV,0.7
Milvus migrans,non-standardized,combination,IV,0.72
Milvus migrans,non-standardized,habitat-based,IV,0.72
Milvus milvus,non-standardized,climate-based,III,0.78
Milvus milvus,non-standardized,combination,III,0.78
Milvus milvus,non-standardized,habitat-based,III,0.72
Monticola saxatilis,non-standardized,climate-based,II,0.84
Monticola saxatilis,non-standardized,combination,II,0.8
Monticola saxatilis,non-standardized,habitat-based,II,0.8
Monticola solitarius,non-standardized,climate-based,II,0.68
Monticola solitarius,non-standardized,combination,II,0.68
Monticola solitarius,non-standardized,habitat-based,II,0.66
Montifringilla nivalis,non-standardized,climate-based,I,0.97
Montifringilla nivalis,non-standardized,combination,I,0.96
Montifringilla nivalis,non-standardized,habitat-based,I,0.96
Motacilla alba,non-standardized,climate-based,IV,0.55
Motacilla alba,non-standardized,combination,IV,0.54
Motacilla alba,non-standardized,habitat-based,IV,0.53
Motacilla cinerea,non-standardized,climate-based,III,0.7
Motacilla cinerea,non-standardized,combination,III,0.69
Motacilla cinerea,non-standardized,habitat-based,III,0.66
Motacilla flava,non-standardized,climate-based,III,0.6
Motacilla flava,non-standardized,combination,III,0.65
Motacilla flava,non-standardized,habitat-based,III,0.62
Neophron percnopterus,non-standardized,climate-based,II,0.79
Neophron percnopterus,non-standardized,combination,II,0.76
Neophron percnopterus,non-standardized,habitat-based,II,0.63
Netta rufina,non-standardized,climate-based,II,0.85
Netta rufina,non-standardized,combination,II,0.82
Netta rufina,non-standardized,habitat-based,II,0.79
Numenius arquata,non-standardized,climate-based,II,0.88
Numenius arquata,non-standardized,combination,II,0.9
Numenius arquata,non-standardized,habitat-based,II,0.8
Nycticorax nycticorax,non-standardized,climate-based,II,0.75
Nycticorax nycticorax,non-standardized,combination,II,0.72
Nycticorax nycticorax,non-standardized,habitat-based,II,0.7
Oenanthe hispanica,non-standardized,climate-based,II,0.72
Oenanthe hispanica,non-standardized,combination,II,0.69
Oenanthe hispanica,non-standardized,habitat-based,II,0.7
Oenanthe leucura,non-standardized,climate-based,II,0.8
Oenanthe leucura,non-standardized,combination,II,0.78
Oenanthe leucura,non-standardized,habitat-based,II,0.74
Oenanthe oenanthe,non-standardized,climate-based,III,0.55
Oenanthe oenanthe,non-standardized,combination,III,0.53
Oenanthe oenanthe,non-standardized,habitat-based,III,0.52
Oriolus oriolus,non-standardized,climate-based,III,0.59
Oriolus oriolus,non-standardized,combination,III,0.57
Oriolus oriolus,non-standardized,habitat-based,III,0.58
Otis tarda,non-standardized,climate-based,II,0.83
Otis tarda,non-standardized,combination,II,0.85
Otis tarda,non-standardized,habitat-based,II,0.84
Otus scops,non-standardized,climate-based,II,0.56
Otus scops,non-standardized,combination,II,0.55
Otus scops,non-standardized,habitat-based,II,0.52
Oxyura leucocephala,non-standardized,climate-based,I,0.9
Oxyura leucocephala,non-standardized,combination,I,0.9
Oxyura leucocephala,non-standardized,habitat-based,I,0.87
Pandion haliaetus,non-standardized,climate-based,II,0.79
Pandion haliaetus,non-standardized,combination,II,0.78
Pandion haliaetus,non-standardized,habitat-based,II,0.68
Panurus biarmicus,non-standardized,climate-based,I,0.88
Panurus biarmicus,non-standardized,combination,I,0.84
Panurus biarmicus,non-standardized,habitat-based,I,0.73
Parus major,non-standardized,climate-based,IV,0.62
Parus major,non-standardized,combination,IV,0.61
Parus major,non-standardized,habitat-based,IV,0.61
Passer domesticus,non-standardized,climate-based,IV,0.53
Passer domesticus,non-standardized,combination,IV,0.54
Passer domesticus,non-standardized,habitat-based,IV,0.51
Passer hispaniolensis,non-standardized,climate-based,II,0.86
Passer hispaniolensis,non-standardized,combination,II,0.86
Passer hispaniolensis,non-standardized,habitat-based,II,0.84
Passer montanus,non-standardized,climate-based,III,0.65
Passer montanus,non-standardized,combination,III,0.65
Passer montanus,non-standardized,habitat-based,III,0.58
Perdix perdix,non-standardized,climate-based,I,0.96
Perdix perdix,non-standardized,combination,I,0.95
Perdix perdix,non-standardized,habitat-based,I,0.97
Periparus ater,non-standardized,climate-based,III,0.85
Periparus ater,non-standardized,combination,III,0.83
Periparus ater,non-standardized,habitat-based,III,0.83
Pernis apivorus,non-standardized,climate-based,II,0.75
Pernis apivorus,non-standardized,combination,II,0.79
Pernis apivorus,non-standardized,habitat-based,II,0.81
Petronia petronia,non-standardized,climate-based,III,0.67
Petronia petronia,non-standardized,combination,III,0.61
Petronia petronia,non-standardized,habitat-based,III,0.59
Phalacrocorax aristotelis,non-standardized,climate-based,II,0.97
Phalacrocorax aristotelis,non-standardized,combination,II,0.95
Phalacrocorax aristotelis,non-standardized,habitat-based,II,0.89
Phalacrocorax carbo,non-standardized,climate-based,III,0.62
Phalacrocorax carbo,non-standardized,combination,III,0.62
Phalacrocorax carbo,non-standardized,habitat-based,III,0.61
Phoenicopterus roseus,non-standardized,climate-based,II,0.88
Phoenicopterus roseus,non-standardized,combination,II,0.87
Phoenicopterus roseus,non-standardized,habitat-based,II,0.83
Phoenicurus ochruros,non-standardized,climate-based,IV,0.56
Phoenicurus ochruros,non-standardized,combination,IV,0.56
Phoenicurus ochruros,non-standardized,habitat-based,IV,0.53
Phoenicurus phoenicurus,non-standardized,climate-based,II,0.68
Phoenicurus phoenicurus,non-standardized,combination,II,0.68
Phoenicurus phoenicurus,non-standardized,habitat-based,II,0.63
Phylloscopus bonelli,non-standardized,climate-based,II,0.67
Phylloscopus bonelli,non-standardized,combination,II,0.62
Phylloscopus bonelli,non-standardized,habitat-based,II,0.65
Phylloscopus collybita,non-standardized,climate-based,IV,0.51
Phylloscopus collybita,non-standardized,combination,IV,0.54
Phylloscopus collybita,non-standardized,habitat-based,IV,0.52
Phylloscopus ibericus,non-standardized,climate-based,II,0.83
Phylloscopus ibericus,non-standardized,combination,II,0.82
Phylloscopus ibericus,non-standardized,habitat-based,II,0.74
Phylloscopus sibillatrix,non-standardized,climate-based,I,0.51
Phylloscopus sibillatrix,non-standardized,combination,I,0.57
Phylloscopus sibillatrix,non-standardized,habitat-based,I,0.59
Phylloscopus trochilus,non-standardized,climate-based,III,0.6
Phylloscopus trochilus,non-standardized,combination,III,0.55
Phylloscopus trochilus,non-standardized,habitat-based,III,0.56
Pica pica,non-standardized,climate-based,IV,0.54
Pica pica,non-standardized,combination,IV,0.52
Pica pica,non-standardized,habitat-based,IV,0.51
Picus viridis,non-standardized,climate-based,III,0.6
Picus viridis,non-standardized,combination,III,0.59
Picus viridis,non-standardized,habitat-based,III,0.58
Platalea leucorodia,non-standardized,climate-based,II,0.93
Platalea leucorodia,non-standardized,combination,II,0.92
Platalea leucorodia,non-standardized,habitat-based,II,0.83
Plegadis falcinellus,non-standardized,climate-based,II,0.86
Plegadis falcinellus,non-standardized,combination,II,0.87
Plegadis falcinellus,non-standardized,habitat-based,II,0.81
Podiceps cristatus,non-standardized,climate-based,II,0.71
Podiceps cristatus,non-standardized,combination,II,0.69
Podiceps cristatus,non-standardized,habitat-based,II,0.69
Podiceps nigricollis,non-standardized,climate-based,II,0.73
Podiceps nigricollis,non-standardized,combination,II,0.72
Podiceps nigricollis,non-standardized,habitat-based,II,0.76
Poecile palustris,non-standardized,climate-based,II,0.97
Poecile palustris,non-standardized,combination,II,0.97
Poecile palustris,non-standardized,habitat-based,II,0.96
Porphyrio porphyrio,non-standardized,climate-based,II,0.9
Porphyrio porphyrio,non-standardized,combination,II,0.84
Porphyrio porphyrio,non-standardized,habitat-based,II,0.79
Porzana porzana,non-standardized,climate-based,I,0.79
Porzana porzana,non-standardized,combination,I,0.79
Porzana porzana,non-standardized,habitat-based,I,0.6
Porzana pusilla,non-standardized,climate-based,I,0.81
Porzana pusilla,non-standardized,combination,I,0.81
Porzana pusilla,non-standardized,habitat-based,I,0.68
Prunella collaris,non-standardized,climate-based,II,0.97
Prunella collaris,non-standardized,combination,II,0.95
Prunella collaris,non-standardized,habitat-based,II,0.97
Prunella modularis,non-standardized,climate-based,III,0.9
Prunella modularis,non-standardized,combination,III,0.89
Prunella modularis,non-standardized,habitat-based,III,0.91
Pterocles alchata,non-standardized,climate-based,I,0.89
Pterocles alchata,non-standardized,combination,I,0.91
Pterocles alchata,non-standardized,habitat-based,I,0.86
Pterocles orientalis,non-standardized,climate-based,II,0.79
Pterocles orientalis,non-standardized,combination,II,0.83
Pterocles orientalis,non-standardized,habitat-based,II,0.81
Ptyonoprogne rupestris,non-standardized,climate-based,III,0.63
Ptyonoprogne rupestris,non-standardized,combination,III,0.63
Ptyonoprogne rupestris,non-standardized,habitat-based,III,0.6
Pyrrhocorax graculus,non-standardized,climate-based,II,0.97
Pyrrhocorax graculus,non-standardized,combination,II,0.96
Pyrrhocorax graculus,non-standardized,habitat-based,II,0.96
Pyrrhocorax pyrrhocorax,non-standardized,climate-based,II,0.8
Pyrrhocorax pyrrhocorax,non-standardized,combination,II,0.76
Pyrrhocorax pyrrhocorax,non-standardized,habitat-based,II,0.72
Pyrrhula pyrrhula,non-standardized,climate-based,II,0.94
Pyrrhula pyrrhula,non-standardized,combination,II,0.93
Pyrrhula pyrrhula,non-standardized,habitat-based,II,0.94
Rallus aquaticus,non-standardized,climate-based,II,0.72
Rallus aquaticus,non-standardized,combination,II,0.7
Rallus aquaticus,non-standardized,habitat-based,II,0.64
Recurvirostra avosetta,non-standardized,climate-based,II,0.85
Recurvirostra avosetta,non-standardized,combination,II,0.84
Recurvirostra avosetta,non-standardized,habitat-based,II,0.81
Regulus ignicapilla,non-standardized,climate-based,III,0.79
Regulus ignicapilla,non-standardized,combination,III,0.76
Regulus ignicapilla,non-standardized,habitat-based,III,0.77
Regulus regulus,non-standardized,climate-based,II,0.9
Regulus regulus,non-standardized,combination,II,0.89
Regulus regulus,non-standardized,habitat-based,II,0.93
Remiz pendulinus,non-standardized,climate-based,II,0.74
Remiz pendulinus,non-standardized,combination,II,0.7
Remiz pendulinus,non-standardized,habitat-based,II,0.64
Riparia riparia,non-standardized,climate-based,III,0.63
Riparia riparia,non-standardized,combination,III,0.66
Riparia riparia,non-standardized,habitat-based,III,0.6
Saxicola rubetra,non-standardized,climate-based,II,0.66
Saxicola rubetra,non-standardized,combination,II,0.76
Saxicola rubetra,non-standardized,habitat-based,II,0.65
Scolopax rusticola,non-standardized,climate-based,I,0.56
Scolopax rusticola,non-standardized,combination,I,0.72
Scolopax rusticola,non-standardized,habitat-based,I,0.58
Serinus serinus,non-standardized,climate-based,IV,0.53
Serinus serinus,non-standardized,combination,IV,0.51
Serinus serinus,non-standardized,habitat-based,IV,0.53
Sitta europaea,non-standardized,climate-based,III,0.8
Sitta europaea,non-standardized,combination,III,0.8
Sitta europaea,non-standardized,habitat-based,III,0.79
Spinus spinus,non-standardized,climate-based,II,0.63
Spinus spinus,non-standardized,combination,II,0.65
Spinus spinus,non-standardized,habitat-based,II,0.57
Sterna hirundo,non-standardized,climate-based,II,0.82
Sterna hirundo,non-standardized,combination,II,0.75
Sterna hirundo,non-standardized,habitat-based,II,0.79
Sterna nilotica,non-standardized,climate-based,II,0.86
Sterna nilotica,non-standardized,combination,II,0.86
Sterna nilotica,non-standardized,habitat-based,II,0.83
Sternula albifrons,non-standardized,climate-based,II,0.89
Sternula albifrons,non-standardized,combination,II,0.86
Sternula albifrons,non-standardized,habitat-based,II,0.88
Streptopelia decaocto,non-standardized,climate-based,IV,0.66
Streptopelia decaocto,non-standardized,combination,IV,0.62
Streptopelia decaocto,non-standardized,habitat-based,IV,0.62
Streptopelia turtur,non-standardized,climate-based,III,0.62
Streptopelia turtur,non-standardized,combination,III,0.62
Streptopelia turtur,non-standardized,habitat-based,III,0.62
Strix aluco,non-standardized,climate-based,II,0.71
Strix aluco,non-standardized,combination,II,0.71
Strix aluco,non-standardized,habitat-based,II,0.67
Sturnus unicolor,non-standardized,climate-based,IV,0.62
Sturnus unicolor,non-standardized,combination,IV,0.6
Sturnus unicolor,non-standardized,habitat-based,IV,0.62
Sturnus vulgaris,non-standardized,climate-based,II,0.9
Sturnus vulgaris,non-standardized,combination,II,0.86
Sturnus vulgaris,non-standardized,habitat-based,II,0.69
Sylvia atricapilla,non-standardized,climate-based,IV,0.67
Sylvia atricapilla,non-standardized,combination,IV,0.69
Sylvia atricapilla,non-standardized,habitat-based,IV,0.68
Sylvia borin,non-standardized,climate-based,II,0.62
Sylvia borin,non-standardized,combination,II,0.61
Sylvia borin,non-standardized,habitat-based,II,0.61
Sylvia cantillans,non-standardized,climate-based,II,0.59
Sylvia cantillans,non-standardized,combination,II,0.58
Sylvia cantillans,non-standardized,habitat-based,II,0.53
Sylvia communis,non-standardized,climate-based,II,0.58
Sylvia communis,non-standardized,combination,II,0.6
Sylvia communis,non-standardized,habitat-based,II,0.58
Sylvia conspicillata,non-standardized,climate-based,II,0.57
Sylvia conspicillata,non-standardized,combination,II,0.6
Sylvia conspicillata,non-standardized,habitat-based,II,0.6
Sylvia hortensis,non-standardized,climate-based,II,0.59
Sylvia hortensis,non-standardized,combination,II,0.59
Sylvia hortensis,non-standardized,habitat-based,II,0.56
Sylvia melanocephala,non-standardized,climate-based,IV,0.84
Sylvia melanocephala,non-standardized,combination,IV,0.77
Sylvia melanocephala,non-standardized,habitat-based,IV,0.81
Sylvia undata,non-standardized,climate-based,III,0.56
Sylvia undata,non-standardized,combination,III,0.58
Sylvia undata,non-standardized,habitat-based,III,0.54
Tachybaptus ruficollis,non-standardized,climate-based,III,0.68
Tachybaptus ruficollis,non-standardized,combination,III,0.67
Tachybaptus ruficollis,non-standardized,habitat-based,III,0.68
Tadorna tadorna,non-standardized,climate-based,II,0.9
Tadorna tadorna,non-standardized,combination,II,0.9
Tadorna tadorna,non-standardized,habitat-based,II,0.85
Tetrax tetrax,non-standardized,climate-based,II,0.75
Tetrax tetrax,non-standardized,combination,II,0.79
Tetrax tetrax,non-standardized,habitat-based,II,0.8
Tichodroma muraria,non-standardized,climate-based,I,0.96
Tichodroma muraria,non-standardized,combination,I,0.95
Tichodroma muraria,non-standardized,habitat-based,I,0.95
Tringa ochropus,non-standardized,climate-based,III,0.75
Tringa ochropus,non-standardized,combination,III,0.69
Tringa ochropus,non-standardized,habitat-based,III,0.63
Tringa totanus,non-standardized,climate-based,II,0.74
Tringa totanus,non-standardized,combination,II,0.74
Tringa totanus,non-standardized,habitat-based,II,0.73
Troglodytes troglodytes,non-standardized,climate-based,IV,0.77
Troglodytes troglodytes,non-standardized,combination,IV,0.75
Troglodytes troglodytes,non-standardized,habitat-based,IV,0.75
Turdus merula,non-standardized,climate-based,IV,0.61
Turdus merula,non-standardized,combination,IV,0.6
Turdus merula,non-standardized,habitat-based,IV,0.57
Turdus philomelos,non-standardized,climate-based,III,0.61
Turdus philomelos,non-standardized,combination,III,0.62
Turdus philomelos,non-standardized,habitat-based,III,0.59
Turdus torquatus,non-standardized,climate-based,II,0.96
Turdus torquatus,non-standardized,combination,II,0.92
Turdus torquatus,non-standardized,habitat-based,II,0.93
Turdus viscivorus,non-standardized,climate-based,III,0.64
Turdus viscivorus,non-standardized,combination,III,0.61
Turdus viscivorus,non-standardized,habitat-based,III,0.63
Tyto alba,non-standardized,climate-based,II,0.58
Tyto alba,non-standardized,combination,II,0.59
Tyto alba,non-standardized,habitat-based,II,0.6
Upupa epops,non-standardized,climate-based,IV,0.72
Upupa epops,non-standardized,combination,IV,0.7
Upupa epops,non-standardized,habitat-based,IV,0.73
Vanellus vanellus,non-standardized,climate-based,III,0.58
Vanellus vanellus,non-standardized,combination,III,0.61
Vanellus vanellus,non-standardized,habitat-based,III,0.66
